Orthogroup	19222_Sid_GoodCoral_500lnThresh_Final	29422_past_LongestContig_suffixed	Total
OG0000000	146	4	150
OG0000001	122	4	126
OG0000002	122	2	124
OG0000003	111	2	113
OG0000004	67	0	67
OG0000005	59	3	62
OG0000006	5	52	57
OG0000007	2	44	46
OG0000008	3	41	44
OG0000009	36	5	41
OG0000010	40	0	40
OG0000011	38	1	39
OG0000012	35	2	37
OG0000013	29	7	36
OG0000014	31	2	33
OG0000015	33	0	33
OG0000016	29	2	31
OG0000017	29	2	31
OG0000018	0	31	31
OG0000019	0	30	30
OG0000020	26	0	26
OG0000021	26	0	26
OG0000022	0	25	25
OG0000023	1	23	24
OG0000024	0	24	24
OG0000025	22	1	23
OG0000026	22	0	22
OG0000027	22	0	22
OG0000028	19	2	21
OG0000029	0	21	21
OG0000030	0	21	21
OG0000031	20	0	20
OG0000032	1	19	20
OG0000033	0	20	20
OG0000034	0	20	20
OG0000035	15	4	19
OG0000036	18	1	19
OG0000037	17	1	18
OG0000038	14	4	18
OG0000039	16	1	17
OG0000040	16	1	17
OG0000041	15	2	17
OG0000042	0	17	17
OG0000043	14	2	16
OG0000044	15	1	16
OG0000045	15	1	16
OG0000046	16	0	16
OG0000047	3	13	16
OG0000048	0	16	16
OG0000049	14	1	15
OG0000050	14	1	15
OG0000051	14	1	15
OG0000052	15	0	15
OG0000053	14	1	15
OG0000054	15	0	15
OG0000055	14	1	15
OG0000056	11	3	14
OG0000057	13	1	14
OG0000058	14	0	14
OG0000059	2	12	14
OG0000060	0	14	14
OG0000061	12	1	13
OG0000062	12	1	13
OG0000063	1	12	13
OG0000064	1	12	13
OG0000065	12	0	12
OG0000066	12	0	12
OG0000067	11	1	12
OG0000068	11	1	12
OG0000069	2	10	12
OG0000070	11	0	11
OG0000071	11	0	11
OG0000072	11	0	11
OG0000073	11	0	11
OG0000074	10	1	11
OG0000075	1	10	11
OG0000076	0	11	11
OG0000077	0	11	11
OG0000078	0	11	11
OG0000079	0	11	11
OG0000080	10	0	10
OG0000081	10	0	10
OG0000082	8	2	10
OG0000083	10	0	10
OG0000084	10	0	10
OG0000085	9	1	10
OG0000086	10	0	10
OG0000087	10	0	10
OG0000088	4	6	10
OG0000089	0	10	10
OG0000090	0	10	10
OG0000091	0	10	10
OG0000092	9	0	9
OG0000093	8	1	9
OG0000094	7	2	9
OG0000095	9	0	9
OG0000096	8	1	9
OG0000097	8	1	9
OG0000098	1	8	9
OG0000099	9	0	9
OG0000100	6	3	9
OG0000101	1	8	9
OG0000102	8	1	9
OG0000103	1	8	9
OG0000104	0	9	9
OG0000105	0	9	9
OG0000106	0	9	9
OG0000107	0	9	9
OG0000108	0	9	9
OG0000109	0	9	9
OG0000110	8	0	8
OG0000111	8	0	8
OG0000112	5	3	8
OG0000113	8	0	8
OG0000114	8	0	8
OG0000115	8	0	8
OG0000116	7	1	8
OG0000117	8	0	8
OG0000118	8	0	8
OG0000119	7	1	8
OG0000120	7	1	8
OG0000121	7	1	8
OG0000122	1	7	8
OG0000123	8	0	8
OG0000124	8	0	8
OG0000125	8	0	8
OG0000126	6	2	8
OG0000127	8	0	8
OG0000128	1	7	8
OG0000129	8	0	8
OG0000130	8	0	8
OG0000131	1	7	8
OG0000132	8	0	8
OG0000133	1	7	8
OG0000134	0	8	8
OG0000135	0	8	8
OG0000136	0	8	8
OG0000137	0	8	8
OG0000138	0	8	8
OG0000139	0	8	8
OG0000140	0	8	8
OG0000141	0	8	8
OG0000142	0	8	8
OG0000143	0	8	8
OG0000144	7	0	7
OG0000145	7	0	7
OG0000146	6	1	7
OG0000147	4	3	7
OG0000148	7	0	7
OG0000149	6	1	7
OG0000150	7	0	7
OG0000151	6	1	7
OG0000152	7	0	7
OG0000153	6	1	7
OG0000154	7	0	7
OG0000155	6	1	7
OG0000156	7	0	7
OG0000157	7	0	7
OG0000158	6	1	7
OG0000159	7	0	7
OG0000160	6	1	7
OG0000161	6	1	7
OG0000162	6	1	7
OG0000163	7	0	7
OG0000164	6	1	7
OG0000165	7	0	7
OG0000166	6	1	7
OG0000167	7	0	7
OG0000168	7	0	7
OG0000169	5	2	7
OG0000170	7	0	7
OG0000171	7	0	7
OG0000172	1	6	7
OG0000173	7	0	7
OG0000174	3	4	7
OG0000175	2	5	7
OG0000176	1	6	7
OG0000177	1	6	7
OG0000178	1	6	7
OG0000179	0	7	7
OG0000180	0	7	7
OG0000181	0	7	7
OG0000182	0	7	7
OG0000183	0	7	7
OG0000184	0	7	7
OG0000185	0	7	7
OG0000186	0	7	7
OG0000187	0	7	7
OG0000188	0	7	7
OG0000189	0	7	7
OG0000190	0	7	7
OG0000191	0	7	7
OG0000192	0	7	7
OG0000193	0	7	7
OG0000194	6	0	6
OG0000195	6	0	6
OG0000196	6	0	6
OG0000197	6	0	6
OG0000198	5	1	6
OG0000199	5	1	6
OG0000200	4	2	6
OG0000201	5	1	6
OG0000202	1	5	6
OG0000203	4	2	6
OG0000204	6	0	6
OG0000205	6	0	6
OG0000206	4	2	6
OG0000207	6	0	6
OG0000208	6	0	6
OG0000209	6	0	6
OG0000210	3	3	6
OG0000211	6	0	6
OG0000212	6	0	6
OG0000213	6	0	6
OG0000214	6	0	6
OG0000215	6	0	6
OG0000216	6	0	6
OG0000217	6	0	6
OG0000218	5	1	6
OG0000219	6	0	6
OG0000220	6	0	6
OG0000221	6	0	6
OG0000222	6	0	6
OG0000223	6	0	6
OG0000224	6	0	6
OG0000225	2	4	6
OG0000226	4	2	6
OG0000227	6	0	6
OG0000228	6	0	6
OG0000229	5	1	6
OG0000230	6	0	6
OG0000231	6	0	6
OG0000232	6	0	6
OG0000233	5	1	6
OG0000234	6	0	6
OG0000235	1	5	6
OG0000236	6	0	6
OG0000237	1	5	6
OG0000238	1	5	6
OG0000239	2	4	6
OG0000240	3	3	6
OG0000241	1	5	6
OG0000242	0	6	6
OG0000243	0	6	6
OG0000244	0	6	6
OG0000245	0	6	6
OG0000246	0	6	6
OG0000247	0	6	6
OG0000248	0	6	6
OG0000249	0	6	6
OG0000250	0	6	6
OG0000251	0	6	6
OG0000252	0	6	6
OG0000253	0	6	6
OG0000254	0	6	6
OG0000255	0	6	6
OG0000256	0	6	6
OG0000257	0	6	6
OG0000258	5	0	5
OG0000259	5	0	5
OG0000260	4	1	5
OG0000261	5	0	5
OG0000262	5	0	5
OG0000263	5	0	5
OG0000264	5	0	5
OG0000265	4	1	5
OG0000266	4	1	5
OG0000267	2	3	5
OG0000268	5	0	5
OG0000269	5	0	5
OG0000270	3	2	5
OG0000271	4	1	5
OG0000272	5	0	5
OG0000273	5	0	5
OG0000274	5	0	5
OG0000275	5	0	5
OG0000276	4	1	5
OG0000277	4	1	5
OG0000278	5	0	5
OG0000279	5	0	5
OG0000280	5	0	5
OG0000281	3	2	5
OG0000282	4	1	5
OG0000283	5	0	5
OG0000284	4	1	5
OG0000285	5	0	5
OG0000286	5	0	5
OG0000287	5	0	5
OG0000288	4	1	5
OG0000289	5	0	5
OG0000290	5	0	5
OG0000291	5	0	5
OG0000292	5	0	5
OG0000293	3	2	5
OG0000294	4	1	5
OG0000295	5	0	5
OG0000296	3	2	5
OG0000297	5	0	5
OG0000298	4	1	5
OG0000299	5	0	5
OG0000300	5	0	5
OG0000301	5	0	5
OG0000302	5	0	5
OG0000303	5	0	5
OG0000304	5	0	5
OG0000305	4	1	5
OG0000306	1	4	5
OG0000307	4	1	5
OG0000308	5	0	5
OG0000309	5	0	5
OG0000310	5	0	5
OG0000311	4	1	5
OG0000312	2	3	5
OG0000313	2	3	5
OG0000314	5	0	5
OG0000315	5	0	5
OG0000316	4	1	5
OG0000317	4	1	5
OG0000318	1	4	5
OG0000319	4	1	5
OG0000320	5	0	5
OG0000321	5	0	5
OG0000322	5	0	5
OG0000323	5	0	5
OG0000324	4	1	5
OG0000325	4	1	5
OG0000326	4	1	5
OG0000327	5	0	5
OG0000328	5	0	5
OG0000329	4	1	5
OG0000330	5	0	5
OG0000331	5	0	5
OG0000332	5	0	5
OG0000333	1	4	5
OG0000334	5	0	5
OG0000335	2	3	5
OG0000336	4	1	5
OG0000337	3	2	5
OG0000338	5	0	5
OG0000339	5	0	5
OG0000340	5	0	5
OG0000341	5	0	5
OG0000342	5	0	5
OG0000343	1	4	5
OG0000344	2	3	5
OG0000345	3	2	5
OG0000346	4	1	5
OG0000347	2	3	5
OG0000348	1	4	5
OG0000349	5	0	5
OG0000350	5	0	5
OG0000351	1	4	5
OG0000352	1	4	5
OG0000353	1	4	5
OG0000354	0	5	5
OG0000355	0	5	5
OG0000356	0	5	5
OG0000357	0	5	5
OG0000358	0	5	5
OG0000359	0	5	5
OG0000360	0	5	5
OG0000361	0	5	5
OG0000362	0	5	5
OG0000363	0	5	5
OG0000364	0	5	5
OG0000365	0	5	5
OG0000366	0	5	5
OG0000367	0	5	5
OG0000368	0	5	5
OG0000369	0	5	5
OG0000370	0	5	5
OG0000371	0	5	5
OG0000372	0	5	5
OG0000373	0	5	5
OG0000374	0	5	5
OG0000375	0	5	5
OG0000376	0	5	5
OG0000377	0	5	5
OG0000378	0	5	5
OG0000379	0	5	5
OG0000380	0	5	5
OG0000381	0	5	5
OG0000382	0	5	5
OG0000383	0	5	5
OG0000384	0	5	5
OG0000385	4	0	4
OG0000386	4	0	4
OG0000387	4	0	4
OG0000388	4	0	4
OG0000389	4	0	4
OG0000390	4	0	4
OG0000391	3	1	4
OG0000392	1	3	4
OG0000393	4	0	4
OG0000394	4	0	4
OG0000395	4	0	4
OG0000396	4	0	4
OG0000397	4	0	4
OG0000398	4	0	4
OG0000399	4	0	4
OG0000400	3	1	4
OG0000401	4	0	4
OG0000402	2	2	4
OG0000403	4	0	4
OG0000404	4	0	4
OG0000405	4	0	4
OG0000406	4	0	4
OG0000407	4	0	4
OG0000408	4	0	4
OG0000409	3	1	4
OG0000410	4	0	4
OG0000411	2	2	4
OG0000412	4	0	4
OG0000413	4	0	4
OG0000414	4	0	4
OG0000415	3	1	4
OG0000416	4	0	4
OG0000417	4	0	4
OG0000418	3	1	4
OG0000419	3	1	4
OG0000420	2	2	4
OG0000421	2	2	4
OG0000422	4	0	4
OG0000423	4	0	4
OG0000424	4	0	4
OG0000425	4	0	4
OG0000426	2	2	4
OG0000427	1	3	4
OG0000428	4	0	4
OG0000429	3	1	4
OG0000430	4	0	4
OG0000431	4	0	4
OG0000432	3	1	4
OG0000433	3	1	4
OG0000434	3	1	4
OG0000435	3	1	4
OG0000436	4	0	4
OG0000437	2	2	4
OG0000438	4	0	4
OG0000439	2	2	4
OG0000440	4	0	4
OG0000441	3	1	4
OG0000442	3	1	4
OG0000443	1	3	4
OG0000444	2	2	4
OG0000445	3	1	4
OG0000446	2	2	4
OG0000447	4	0	4
OG0000448	4	0	4
OG0000449	4	0	4
OG0000450	2	2	4
OG0000451	4	0	4
OG0000452	3	1	4
OG0000453	4	0	4
OG0000454	3	1	4
OG0000455	4	0	4
OG0000456	4	0	4
OG0000457	1	3	4
OG0000458	2	2	4
OG0000459	4	0	4
OG0000460	3	1	4
OG0000461	4	0	4
OG0000462	2	2	4
OG0000463	2	2	4
OG0000464	4	0	4
OG0000465	3	1	4
OG0000466	4	0	4
OG0000467	4	0	4
OG0000468	4	0	4
OG0000469	4	0	4
OG0000470	4	0	4
OG0000471	4	0	4
OG0000472	4	0	4
OG0000473	2	2	4
OG0000474	4	0	4
OG0000475	4	0	4
OG0000476	4	0	4
OG0000477	4	0	4
OG0000478	4	0	4
OG0000479	4	0	4
OG0000480	4	0	4
OG0000481	3	1	4
OG0000482	3	1	4
OG0000483	4	0	4
OG0000484	1	3	4
OG0000485	4	0	4
OG0000486	3	1	4
OG0000487	4	0	4
OG0000488	2	2	4
OG0000489	3	1	4
OG0000490	4	0	4
OG0000491	2	2	4
OG0000492	4	0	4
OG0000493	4	0	4
OG0000494	2	2	4
OG0000495	4	0	4
OG0000496	4	0	4
OG0000497	4	0	4
OG0000498	3	1	4
OG0000499	4	0	4
OG0000500	4	0	4
OG0000501	4	0	4
OG0000502	4	0	4
OG0000503	3	1	4
OG0000504	3	1	4
OG0000505	3	1	4
OG0000506	3	1	4
OG0000507	4	0	4
OG0000508	3	1	4
OG0000509	3	1	4
OG0000510	2	2	4
OG0000511	1	3	4
OG0000512	3	1	4
OG0000513	1	3	4
OG0000514	3	1	4
OG0000515	4	0	4
OG0000516	4	0	4
OG0000517	3	1	4
OG0000518	3	1	4
OG0000519	3	1	4
OG0000520	3	1	4
OG0000521	4	0	4
OG0000522	4	0	4
OG0000523	4	0	4
OG0000524	4	0	4
OG0000525	3	1	4
OG0000526	2	2	4
OG0000527	3	1	4
OG0000528	4	0	4
OG0000529	4	0	4
OG0000530	2	2	4
OG0000531	3	1	4
OG0000532	4	0	4
OG0000533	4	0	4
OG0000534	3	1	4
OG0000535	2	2	4
OG0000536	4	0	4
OG0000537	2	2	4
OG0000538	4	0	4
OG0000539	2	2	4
OG0000540	1	3	4
OG0000541	4	0	4
OG0000542	3	1	4
OG0000543	3	1	4
OG0000544	4	0	4
OG0000545	3	1	4
OG0000546	4	0	4
OG0000547	3	1	4
OG0000548	2	2	4
OG0000549	3	1	4
OG0000550	4	0	4
OG0000551	3	1	4
OG0000552	1	3	4
OG0000553	4	0	4
OG0000554	4	0	4
OG0000555	4	0	4
OG0000556	3	1	4
OG0000557	4	0	4
OG0000558	4	0	4
OG0000559	2	2	4
OG0000560	4	0	4
OG0000561	1	3	4
OG0000562	3	1	4
OG0000563	1	3	4
OG0000564	4	0	4
OG0000565	4	0	4
OG0000566	4	0	4
OG0000567	2	2	4
OG0000568	4	0	4
OG0000569	2	2	4
OG0000570	1	3	4
OG0000571	4	0	4
OG0000572	4	0	4
OG0000573	1	3	4
OG0000574	2	2	4
OG0000575	1	3	4
OG0000576	1	3	4
OG0000577	1	3	4
OG0000578	1	3	4
OG0000579	1	3	4
OG0000580	0	4	4
OG0000581	0	4	4
OG0000582	0	4	4
OG0000583	0	4	4
OG0000584	0	4	4
OG0000585	0	4	4
OG0000586	0	4	4
OG0000587	0	4	4
OG0000588	0	4	4
OG0000589	0	4	4
OG0000590	0	4	4
OG0000591	0	4	4
OG0000592	0	4	4
OG0000593	0	4	4
OG0000594	0	4	4
OG0000595	0	4	4
OG0000596	0	4	4
OG0000597	0	4	4
OG0000598	0	4	4
OG0000599	0	4	4
OG0000600	0	4	4
OG0000601	0	4	4
OG0000602	0	4	4
OG0000603	0	4	4
OG0000604	0	4	4
OG0000605	0	4	4
OG0000606	0	4	4
OG0000607	0	4	4
OG0000608	0	4	4
OG0000609	0	4	4
OG0000610	0	4	4
OG0000611	0	4	4
OG0000612	0	4	4
OG0000613	0	4	4
OG0000614	0	4	4
OG0000615	0	4	4
OG0000616	0	4	4
OG0000617	0	4	4
OG0000618	0	4	4
OG0000619	2	1	3
OG0000620	3	0	3
OG0000621	3	0	3
OG0000622	3	0	3
OG0000623	3	0	3
OG0000624	2	1	3
OG0000625	3	0	3
OG0000626	2	1	3
OG0000627	2	1	3
OG0000628	3	0	3
OG0000629	3	0	3
OG0000630	3	0	3
OG0000631	2	1	3
OG0000632	3	0	3
OG0000633	2	1	3
OG0000634	2	1	3
OG0000635	2	1	3
OG0000636	2	1	3
OG0000637	2	1	3
OG0000638	3	0	3
OG0000639	3	0	3
OG0000640	1	2	3
OG0000641	3	0	3
OG0000642	3	0	3
OG0000643	2	1	3
OG0000644	3	0	3
OG0000645	3	0	3
OG0000646	3	0	3
OG0000647	3	0	3
OG0000648	2	1	3
OG0000649	2	1	3
OG0000650	3	0	3
OG0000651	2	1	3
OG0000652	1	2	3
OG0000653	3	0	3
OG0000654	3	0	3
OG0000655	2	1	3
OG0000656	1	2	3
OG0000657	1	2	3
OG0000658	2	1	3
OG0000659	2	1	3
OG0000660	2	1	3
OG0000661	3	0	3
OG0000662	2	1	3
OG0000663	2	1	3
OG0000664	2	1	3
OG0000665	3	0	3
OG0000666	2	1	3
OG0000667	3	0	3
OG0000668	3	0	3
OG0000669	3	0	3
OG0000670	3	0	3
OG0000671	1	2	3
OG0000672	3	0	3
OG0000673	2	1	3
OG0000674	3	0	3
OG0000675	1	2	3
OG0000676	3	0	3
OG0000677	1	2	3
OG0000678	3	0	3
OG0000679	3	0	3
OG0000680	3	0	3
OG0000681	3	0	3
OG0000682	1	2	3
OG0000683	3	0	3
OG0000684	3	0	3
OG0000685	1	2	3
OG0000686	2	1	3
OG0000687	1	2	3
OG0000688	3	0	3
OG0000689	2	1	3
OG0000690	2	1	3
OG0000691	3	0	3
OG0000692	3	0	3
OG0000693	1	2	3
OG0000694	3	0	3
OG0000695	3	0	3
OG0000696	3	0	3
OG0000697	3	0	3
OG0000698	3	0	3
OG0000699	3	0	3
OG0000700	3	0	3
OG0000701	2	1	3
OG0000702	2	1	3
OG0000703	2	1	3
OG0000704	1	2	3
OG0000705	3	0	3
OG0000706	2	1	3
OG0000707	3	0	3
OG0000708	3	0	3
OG0000709	2	1	3
OG0000710	2	1	3
OG0000711	3	0	3
OG0000712	3	0	3
OG0000713	3	0	3
OG0000714	2	1	3
OG0000715	3	0	3
OG0000716	1	2	3
OG0000717	3	0	3
OG0000718	2	1	3
OG0000719	2	1	3
OG0000720	2	1	3
OG0000721	2	1	3
OG0000722	2	1	3
OG0000723	3	0	3
OG0000724	3	0	3
OG0000725	2	1	3
OG0000726	2	1	3
OG0000727	3	0	3
OG0000728	3	0	3
OG0000729	3	0	3
OG0000730	3	0	3
OG0000731	1	2	3
OG0000732	2	1	3
OG0000733	2	1	3
OG0000734	3	0	3
OG0000735	1	2	3
OG0000736	2	1	3
OG0000737	3	0	3
OG0000738	3	0	3
OG0000739	3	0	3
OG0000740	3	0	3
OG0000741	3	0	3
OG0000742	2	1	3
OG0000743	3	0	3
OG0000744	3	0	3
OG0000745	3	0	3
OG0000746	3	0	3
OG0000747	3	0	3
OG0000748	3	0	3
OG0000749	1	2	3
OG0000750	3	0	3
OG0000751	3	0	3
OG0000752	1	2	3
OG0000753	3	0	3
OG0000754	3	0	3
OG0000755	3	0	3
OG0000756	3	0	3
OG0000757	1	2	3
OG0000758	3	0	3
OG0000759	3	0	3
OG0000760	3	0	3
OG0000761	3	0	3
OG0000762	3	0	3
OG0000763	2	1	3
OG0000764	3	0	3
OG0000765	1	2	3
OG0000766	3	0	3
OG0000767	3	0	3
OG0000768	2	1	3
OG0000769	3	0	3
OG0000770	3	0	3
OG0000771	3	0	3
OG0000772	1	2	3
OG0000773	1	2	3
OG0000774	3	0	3
OG0000775	3	0	3
OG0000776	2	1	3
OG0000777	2	1	3
OG0000778	2	1	3
OG0000779	2	1	3
OG0000780	3	0	3
OG0000781	3	0	3
OG0000782	2	1	3
OG0000783	3	0	3
OG0000784	3	0	3
OG0000785	3	0	3
OG0000786	2	1	3
OG0000787	3	0	3
OG0000788	3	0	3
OG0000789	3	0	3
OG0000790	2	1	3
OG0000791	3	0	3
OG0000792	1	2	3
OG0000793	3	0	3
OG0000794	2	1	3
OG0000795	3	0	3
OG0000796	3	0	3
OG0000797	1	2	3
OG0000798	3	0	3
OG0000799	2	1	3
OG0000800	3	0	3
OG0000801	3	0	3
OG0000802	1	2	3
OG0000803	2	1	3
OG0000804	2	1	3
OG0000805	3	0	3
OG0000806	3	0	3
OG0000807	2	1	3
OG0000808	1	2	3
OG0000809	2	1	3
OG0000810	2	1	3
OG0000811	1	2	3
OG0000812	3	0	3
OG0000813	3	0	3
OG0000814	2	1	3
OG0000815	3	0	3
OG0000816	2	1	3
OG0000817	2	1	3
OG0000818	3	0	3
OG0000819	1	2	3
OG0000820	3	0	3
OG0000821	1	2	3
OG0000822	1	2	3
OG0000823	1	2	3
OG0000824	3	0	3
OG0000825	3	0	3
OG0000826	3	0	3
OG0000827	3	0	3
OG0000828	3	0	3
OG0000829	1	2	3
OG0000830	3	0	3
OG0000831	2	1	3
OG0000832	1	2	3
OG0000833	1	2	3
OG0000834	3	0	3
OG0000835	3	0	3
OG0000836	2	1	3
OG0000837	1	2	3
OG0000838	2	1	3
OG0000839	3	0	3
OG0000840	3	0	3
OG0000841	3	0	3
OG0000842	3	0	3
OG0000843	2	1	3
OG0000844	1	2	3
OG0000845	3	0	3
OG0000846	2	1	3
OG0000847	3	0	3
OG0000848	2	1	3
OG0000849	3	0	3
OG0000850	2	1	3
OG0000851	1	2	3
OG0000852	3	0	3
OG0000853	3	0	3
OG0000854	3	0	3
OG0000855	2	1	3
OG0000856	2	1	3
OG0000857	2	1	3
OG0000858	2	1	3
OG0000859	3	0	3
OG0000860	3	0	3
OG0000861	2	1	3
OG0000862	2	1	3
OG0000863	2	1	3
OG0000864	1	2	3
OG0000865	1	2	3
OG0000866	3	0	3
OG0000867	2	1	3
OG0000868	3	0	3
OG0000869	2	1	3
OG0000870	3	0	3
OG0000871	3	0	3
OG0000872	3	0	3
OG0000873	3	0	3
OG0000874	2	1	3
OG0000875	2	1	3
OG0000876	3	0	3
OG0000877	3	0	3
OG0000878	3	0	3
OG0000879	1	2	3
OG0000880	1	2	3
OG0000881	1	2	3
OG0000882	3	0	3
OG0000883	1	2	3
OG0000884	2	1	3
OG0000885	2	1	3
OG0000886	3	0	3
OG0000887	3	0	3
OG0000888	2	1	3
OG0000889	1	2	3
OG0000890	1	2	3
OG0000891	2	1	3
OG0000892	3	0	3
OG0000893	2	1	3
OG0000894	3	0	3
OG0000895	2	1	3
OG0000896	3	0	3
OG0000897	2	1	3
OG0000898	3	0	3
OG0000899	1	2	3
OG0000900	2	1	3
OG0000901	1	2	3
OG0000902	2	1	3
OG0000903	3	0	3
OG0000904	2	1	3
OG0000905	1	2	3
OG0000906	2	1	3
OG0000907	2	1	3
OG0000908	2	1	3
OG0000909	3	0	3
OG0000910	2	1	3
OG0000911	3	0	3
OG0000912	3	0	3
OG0000913	2	1	3
OG0000914	1	2	3
OG0000915	2	1	3
OG0000916	2	1	3
OG0000917	2	1	3
OG0000918	3	0	3
OG0000919	1	2	3
OG0000920	3	0	3
OG0000921	2	1	3
OG0000922	3	0	3
OG0000923	3	0	3
OG0000924	1	2	3
OG0000925	2	1	3
OG0000926	2	1	3
OG0000927	2	1	3
OG0000928	3	0	3
OG0000929	3	0	3
OG0000930	3	0	3
OG0000931	3	0	3
OG0000932	2	1	3
OG0000933	2	1	3
OG0000934	3	0	3
OG0000935	2	1	3
OG0000936	2	1	3
OG0000937	2	1	3
OG0000938	3	0	3
OG0000939	2	1	3
OG0000940	1	2	3
OG0000941	3	0	3
OG0000942	3	0	3
OG0000943	3	0	3
OG0000944	1	2	3
OG0000945	2	1	3
OG0000946	1	2	3
OG0000947	1	2	3
OG0000948	2	1	3
OG0000949	2	1	3
OG0000950	2	1	3
OG0000951	3	0	3
OG0000952	1	2	3
OG0000953	3	0	3
OG0000954	1	2	3
OG0000955	1	2	3
OG0000956	2	1	3
OG0000957	3	0	3
OG0000958	3	0	3
OG0000959	3	0	3
OG0000960	3	0	3
OG0000961	3	0	3
OG0000962	3	0	3
OG0000963	2	1	3
OG0000964	3	0	3
OG0000965	3	0	3
OG0000966	3	0	3
OG0000967	1	2	3
OG0000968	3	0	3
OG0000969	1	2	3
OG0000970	1	2	3
OG0000971	3	0	3
OG0000972	2	1	3
OG0000973	1	2	3
OG0000974	1	2	3
OG0000975	1	2	3
OG0000976	1	2	3
OG0000977	2	1	3
OG0000978	2	1	3
OG0000979	1	2	3
OG0000980	2	1	3
OG0000981	2	1	3
OG0000982	1	2	3
OG0000983	3	0	3
OG0000984	2	1	3
OG0000985	3	0	3
OG0000986	1	2	3
OG0000987	1	2	3
OG0000988	3	0	3
OG0000989	1	2	3
OG0000990	2	1	3
OG0000991	2	1	3
OG0000992	2	1	3
OG0000993	3	0	3
OG0000994	3	0	3
OG0000995	3	0	3
OG0000996	1	2	3
OG0000997	3	0	3
OG0000998	2	1	3
OG0000999	3	0	3
OG0001000	2	1	3
OG0001001	3	0	3
OG0001002	3	0	3
OG0001003	2	1	3
OG0001004	1	2	3
OG0001005	2	1	3
OG0001006	2	1	3
OG0001007	1	2	3
OG0001008	2	1	3
OG0001009	1	2	3
OG0001010	1	2	3
OG0001011	2	1	3
OG0001012	3	0	3
OG0001013	2	1	3
OG0001014	2	1	3
OG0001015	2	1	3
OG0001016	1	2	3
OG0001017	2	1	3
OG0001018	1	2	3
OG0001019	1	2	3
OG0001020	2	1	3
OG0001021	2	1	3
OG0001022	3	0	3
OG0001023	3	0	3
OG0001024	2	1	3
OG0001025	3	0	3
OG0001026	2	1	3
OG0001027	2	1	3
OG0001028	2	1	3
OG0001029	1	2	3
OG0001030	3	0	3
OG0001031	1	2	3
OG0001032	3	0	3
OG0001033	1	2	3
OG0001034	2	1	3
OG0001035	3	0	3
OG0001036	3	0	3
OG0001037	2	1	3
OG0001038	3	0	3
OG0001039	2	1	3
OG0001040	3	0	3
OG0001041	2	1	3
OG0001042	1	2	3
OG0001043	2	1	3
OG0001044	1	2	3
OG0001045	1	2	3
OG0001046	1	2	3
OG0001047	3	0	3
OG0001048	2	1	3
OG0001049	3	0	3
OG0001050	3	0	3
OG0001051	2	1	3
OG0001052	3	0	3
OG0001053	3	0	3
OG0001054	3	0	3
OG0001055	1	2	3
OG0001056	3	0	3
OG0001057	3	0	3
OG0001058	3	0	3
OG0001059	3	0	3
OG0001060	3	0	3
OG0001061	1	2	3
OG0001062	2	1	3
OG0001063	1	2	3
OG0001064	1	2	3
OG0001065	2	1	3
OG0001066	2	1	3
