Orthogroup	10714_past_LongestContig_500ln_suffixed	19222_Sid_GoodCoral_500lnThresh_Final	Total
OG0000000	1	173	174
OG0000001	4	125	129
OG0000002	2	124	126
OG0000003	3	111	114
OG0000004	1	80	81
OG0000005	4	63	67
OG0000006	6	39	45
OG0000007	0	44	44
OG0000008	7	30	37
OG0000009	0	37	37
OG0000010	33	3	36
OG0000011	1	35	36
OG0000012	1	33	34
OG0000013	0	33	33
OG0000014	2	29	31
OG0000015	2	29	31
OG0000016	1	27	28
OG0000017	0	28	28
OG0000018	0	27	27
OG0000019	0	26	26
OG0000020	21	2	23
OG0000021	1	22	23
OG0000022	1	21	22
OG0000023	0	22	22
OG0000024	0	22	22
OG0000025	0	20	20
OG0000026	1	18	19
OG0000027	18	0	18
OG0000028	1	17	18
OG0000029	1	16	17
OG0000030	2	15	17
OG0000031	1	16	17
OG0000032	0	17	17
OG0000033	1	14	15
OG0000034	1	14	15
OG0000035	1	14	15
OG0000036	0	15	15
OG0000037	0	15	15
OG0000038	0	15	15
OG0000039	0	15	15
OG0000040	14	0	14
OG0000041	1	13	14
OG0000042	0	14	14
OG0000043	0	14	14
OG0000044	2	11	13
OG0000045	1	12	13
OG0000046	1	12	13
OG0000047	12	0	12
OG0000048	12	0	12
OG0000049	12	0	12
OG0000050	0	12	12
OG0000051	0	12	12
OG0000052	0	12	12
OG0000053	9	2	11
OG0000054	1	10	11
OG0000055	2	9	11
OG0000056	0	11	11
OG0000057	0	11	11
OG0000058	0	11	11
OG0000059	0	11	11
OG0000060	0	11	11
OG0000061	10	0	10
OG0000062	10	0	10
OG0000063	4	6	10
OG0000064	10	0	10
OG0000065	10	0	10
OG0000066	1	9	10
OG0000067	9	1	10
OG0000068	1	9	10
OG0000069	1	9	10
OG0000070	1	9	10
OG0000071	0	10	10
OG0000072	0	10	10
OG0000073	0	10	10
OG0000074	0	10	10
OG0000075	0	10	10
OG0000076	0	10	10
OG0000077	9	0	9
OG0000078	9	0	9
OG0000079	9	0	9
OG0000080	1	8	9
OG0000081	1	8	9
OG0000082	0	9	9
OG0000083	0	9	9
OG0000084	0	9	9
OG0000085	0	9	9
OG0000086	8	0	8
OG0000087	1	7	8
OG0000088	1	7	8
OG0000089	1	7	8
OG0000090	0	8	8
OG0000091	0	8	8
OG0000092	0	8	8
OG0000093	0	8	8
OG0000094	0	8	8
OG0000095	0	8	8
OG0000096	0	8	8
OG0000097	0	8	8
OG0000098	0	8	8
OG0000099	0	8	8
OG0000100	0	8	8
OG0000101	0	8	8
OG0000102	0	8	8
OG0000103	7	0	7
OG0000104	6	1	7
OG0000105	1	6	7
OG0000106	7	0	7
OG0000107	1	6	7
OG0000108	6	1	7
OG0000109	1	6	7
OG0000110	7	0	7
OG0000111	1	6	7
OG0000112	6	1	7
OG0000113	1	6	7
OG0000114	1	6	7
OG0000115	1	6	7
OG0000116	1	6	7
OG0000117	0	7	7
OG0000118	0	7	7
OG0000119	0	7	7
OG0000120	0	7	7
OG0000121	0	7	7
OG0000122	0	7	7
OG0000123	0	7	7
OG0000124	0	7	7
OG0000125	0	7	7
OG0000126	0	7	7
OG0000127	0	7	7
OG0000128	0	7	7
OG0000129	0	7	7
OG0000130	0	7	7
OG0000131	0	7	7
OG0000132	0	7	7
OG0000133	0	7	7
OG0000134	0	7	7
OG0000135	0	7	7
OG0000136	5	1	6
OG0000137	6	0	6
OG0000138	4	2	6
OG0000139	3	3	6
OG0000140	6	0	6
OG0000141	6	0	6
OG0000142	1	5	6
OG0000143	4	2	6
OG0000144	6	0	6
OG0000145	6	0	6
OG0000146	1	5	6
OG0000147	6	0	6
OG0000148	5	1	6
OG0000149	1	5	6
OG0000150	1	5	6
OG0000151	2	4	6
OG0000152	2	4	6
OG0000153	6	0	6
OG0000154	6	0	6
OG0000155	1	5	6
OG0000156	2	4	6
OG0000157	0	6	6
OG0000158	0	6	6
OG0000159	0	6	6
OG0000160	0	6	6
OG0000161	0	6	6
OG0000162	0	6	6
OG0000163	0	6	6
OG0000164	0	6	6
OG0000165	0	6	6
OG0000166	0	6	6
OG0000167	0	6	6
OG0000168	0	6	6
OG0000169	0	6	6
OG0000170	0	6	6
OG0000171	0	6	6
OG0000172	0	6	6
OG0000173	0	6	6
OG0000174	0	6	6
OG0000175	0	6	6
OG0000176	0	6	6
OG0000177	0	6	6
OG0000178	0	6	6
OG0000179	0	6	6
OG0000180	0	6	6
OG0000181	0	6	6
OG0000182	0	6	6
OG0000183	0	6	6
OG0000184	0	6	6
OG0000185	0	6	6
OG0000186	0	6	6
OG0000187	0	6	6
OG0000188	0	6	6
OG0000189	0	6	6
OG0000190	0	6	6
OG0000191	0	6	6
OG0000192	0	6	6
OG0000193	0	6	6
OG0000194	0	6	6
OG0000195	0	6	6
OG0000196	0	6	6
OG0000197	5	0	5
OG0000198	4	1	5
OG0000199	5	0	5
OG0000200	5	0	5
OG0000201	4	1	5
OG0000202	5	0	5
OG0000203	1	4	5
OG0000204	5	0	5
OG0000205	4	1	5
OG0000206	5	0	5
OG0000207	1	4	5
OG0000208	5	0	5
OG0000209	5	0	5
OG0000210	5	0	5
OG0000211	5	0	5
OG0000212	5	0	5
OG0000213	4	1	5
OG0000214	3	2	5
OG0000215	1	4	5
OG0000216	1	4	5
OG0000217	5	0	5
OG0000218	5	0	5
OG0000219	1	4	5
OG0000220	4	1	5
OG0000221	1	4	5
OG0000222	1	4	5
OG0000223	1	4	5
OG0000224	1	4	5
OG0000225	1	4	5
OG0000226	2	3	5
OG0000227	0	5	5
OG0000228	0	5	5
OG0000229	0	5	5
OG0000230	0	5	5
OG0000231	0	5	5
OG0000232	0	5	5
OG0000233	0	5	5
OG0000234	0	5	5
OG0000235	0	5	5
OG0000236	0	5	5
OG0000237	0	5	5
OG0000238	0	5	5
OG0000239	0	5	5
OG0000240	0	5	5
OG0000241	0	5	5
OG0000242	0	5	5
OG0000243	0	5	5
OG0000244	0	5	5
OG0000245	0	5	5
OG0000246	0	5	5
OG0000247	0	5	5
OG0000248	0	5	5
OG0000249	0	5	5
OG0000250	0	5	5
OG0000251	0	5	5
OG0000252	0	5	5
OG0000253	0	5	5
OG0000254	0	5	5
OG0000255	0	5	5
OG0000256	0	5	5
OG0000257	0	5	5
OG0000258	0	5	5
OG0000259	0	5	5
OG0000260	0	5	5
OG0000261	0	5	5
OG0000262	0	5	5
OG0000263	0	5	5
OG0000264	0	5	5
OG0000265	0	5	5
OG0000266	0	5	5
OG0000267	0	5	5
OG0000268	0	5	5
OG0000269	0	5	5
OG0000270	0	5	5
OG0000271	0	5	5
OG0000272	0	5	5
OG0000273	0	5	5
OG0000274	0	5	5
OG0000275	0	5	5
OG0000276	0	5	5
OG0000277	0	5	5
OG0000278	0	5	5
OG0000279	0	5	5
OG0000280	0	5	5
OG0000281	0	5	5
OG0000282	0	5	5
OG0000283	0	5	5
OG0000284	2	2	4
OG0000285	4	0	4
OG0000286	3	1	4
OG0000287	3	1	4
OG0000288	3	1	4
OG0000289	1	3	4
OG0000290	1	3	4
OG0000291	4	0	4
OG0000292	2	2	4
OG0000293	4	0	4
OG0000294	2	2	4
OG0000295	4	0	4
OG0000296	4	0	4
OG0000297	4	0	4
OG0000298	2	2	4
OG0000299	3	1	4
OG0000300	4	0	4
OG0000301	4	0	4
OG0000302	4	0	4
OG0000303	4	0	4
OG0000304	4	0	4
OG0000305	4	0	4
OG0000306	3	1	4
OG0000307	4	0	4
OG0000308	2	2	4
OG0000309	4	0	4
OG0000310	1	3	4
OG0000311	2	2	4
OG0000312	1	3	4
OG0000313	4	0	4
OG0000314	2	2	4
OG0000315	2	2	4
OG0000316	4	0	4
OG0000317	4	0	4
OG0000318	4	0	4
OG0000319	4	0	4
OG0000320	4	0	4
OG0000321	3	1	4
OG0000322	2	2	4
OG0000323	1	3	4
OG0000324	2	2	4
OG0000325	2	2	4
OG0000326	4	0	4
OG0000327	3	1	4
OG0000328	3	1	4
OG0000329	4	0	4
OG0000330	4	0	4
OG0000331	3	1	4
OG0000332	2	2	4
OG0000333	1	3	4
OG0000334	3	1	4
OG0000335	1	3	4
OG0000336	1	3	4
OG0000337	1	3	4
OG0000338	1	3	4
OG0000339	1	3	4
OG0000340	4	0	4
OG0000341	1	3	4
OG0000342	1	3	4
OG0000343	1	3	4
OG0000344	1	3	4
OG0000345	1	3	4
OG0000346	1	3	4
OG0000347	1	3	4
OG0000348	1	3	4
OG0000349	2	2	4
OG0000350	1	3	4
OG0000351	2	2	4
OG0000352	1	3	4
OG0000353	2	2	4
OG0000354	1	3	4
OG0000355	1	3	4
OG0000356	3	1	4
OG0000357	1	3	4
OG0000358	1	3	4
OG0000359	1	3	4
OG0000360	1	3	4
OG0000361	1	3	4
OG0000362	1	3	4
OG0000363	1	3	4
OG0000364	1	3	4
OG0000365	1	3	4
OG0000366	1	3	4
OG0000367	1	3	4
OG0000368	1	3	4
OG0000369	2	2	4
OG0000370	1	3	4
OG0000371	1	3	4
OG0000372	1	3	4
OG0000373	1	3	4
OG0000374	0	4	4
OG0000375	0	4	4
OG0000376	0	4	4
OG0000377	0	4	4
OG0000378	0	4	4
OG0000379	0	4	4
OG0000380	0	4	4
OG0000381	0	4	4
OG0000382	0	4	4
OG0000383	0	4	4
OG0000384	0	4	4
OG0000385	0	4	4
OG0000386	0	4	4
OG0000387	0	4	4
OG0000388	0	4	4
OG0000389	0	4	4
OG0000390	0	4	4
OG0000391	0	4	4
OG0000392	0	4	4
OG0000393	0	4	4
OG0000394	0	4	4
OG0000395	0	4	4
OG0000396	0	4	4
OG0000397	0	4	4
OG0000398	0	4	4
OG0000399	0	4	4
OG0000400	0	4	4
OG0000401	0	4	4
OG0000402	0	4	4
OG0000403	0	4	4
OG0000404	0	4	4
OG0000405	0	4	4
OG0000406	0	4	4
OG0000407	0	4	4
OG0000408	0	4	4
OG0000409	0	4	4
OG0000410	0	4	4
OG0000411	0	4	4
OG0000412	0	4	4
OG0000413	0	4	4
OG0000414	0	4	4
OG0000415	0	4	4
OG0000416	0	4	4
OG0000417	0	4	4
OG0000418	0	4	4
OG0000419	0	4	4
OG0000420	0	4	4
OG0000421	0	4	4
OG0000422	0	4	4
OG0000423	0	4	4
OG0000424	0	4	4
OG0000425	0	4	4
OG0000426	0	4	4
OG0000427	0	4	4
OG0000428	0	4	4
OG0000429	0	4	4
OG0000430	0	4	4
OG0000431	0	4	4
OG0000432	0	4	4
OG0000433	0	4	4
OG0000434	0	4	4
OG0000435	0	4	4
OG0000436	0	4	4
OG0000437	0	4	4
OG0000438	0	4	4
OG0000439	0	4	4
OG0000440	0	4	4
OG0000441	0	4	4
OG0000442	0	4	4
OG0000443	0	4	4
OG0000444	0	4	4
OG0000445	0	4	4
OG0000446	0	4	4
OG0000447	0	4	4
OG0000448	0	4	4
OG0000449	0	4	4
OG0000450	0	4	4
OG0000451	0	4	4
OG0000452	0	4	4
OG0000453	0	4	4
OG0000454	0	4	4
OG0000455	0	4	4
OG0000456	0	4	4
OG0000457	0	4	4
OG0000458	0	4	4
OG0000459	0	4	4
OG0000460	0	4	4
OG0000461	0	4	4
OG0000462	0	4	4
OG0000463	0	4	4
OG0000464	0	4	4
OG0000465	0	4	4
OG0000466	0	4	4
OG0000467	0	4	4
OG0000468	0	4	4
OG0000469	0	4	4
OG0000470	0	4	4
OG0000471	0	4	4
OG0000472	0	4	4
OG0000473	0	4	4
OG0000474	0	4	4
OG0000475	0	4	4
OG0000476	0	4	4
OG0000477	0	4	4
OG0000478	0	4	4
OG0000479	0	4	4
OG0000480	0	4	4
OG0000481	0	4	4
OG0000482	0	4	4
OG0000483	0	4	4
OG0000484	0	4	4
OG0000485	0	4	4
OG0000486	0	4	4
OG0000487	0	4	4
OG0000488	0	4	4
OG0000489	1	2	3
OG0000490	1	2	3
OG0000491	3	0	3
OG0000492	3	0	3
OG0000493	2	1	3
OG0000494	3	0	3
OG0000495	1	2	3
OG0000496	2	1	3
OG0000497	2	1	3
OG0000498	3	0	3
OG0000499	3	0	3
OG0000500	2	1	3
OG0000501	1	2	3
OG0000502	2	1	3
OG0000503	1	2	3
OG0000504	3	0	3
OG0000505	2	1	3
OG0000506	2	1	3
OG0000507	2	1	3
OG0000508	2	1	3
OG0000509	3	0	3
OG0000510	1	2	3
OG0000511	2	1	3
OG0000512	2	1	3
OG0000513	3	0	3
OG0000514	2	1	3
OG0000515	3	0	3
OG0000516	2	1	3
OG0000517	3	0	3
OG0000518	2	1	3
OG0000519	1	2	3
OG0000520	1	2	3
OG0000521	2	1	3
OG0000522	1	2	3
OG0000523	1	2	3
OG0000524	3	0	3
OG0000525	1	2	3
OG0000526	1	2	3
OG0000527	3	0	3
OG0000528	1	2	3
OG0000529	1	2	3
OG0000530	1	2	3
OG0000531	2	1	3
OG0000532	2	1	3
OG0000533	1	2	3
OG0000534	2	1	3
OG0000535	3	0	3
OG0000536	3	0	3
OG0000537	1	2	3
OG0000538	3	0	3
OG0000539	2	1	3
OG0000540	3	0	3
OG0000541	2	1	3
OG0000542	2	1	3
OG0000543	3	0	3
OG0000544	3	0	3
OG0000545	3	0	3
OG0000546	3	0	3
OG0000547	2	1	3
OG0000548	2	1	3
OG0000549	3	0	3
OG0000550	3	0	3
OG0000551	3	0	3
OG0000552	1	2	3
OG0000553	3	0	3
OG0000554	1	2	3
OG0000555	2	1	3
OG0000556	1	2	3
OG0000557	3	0	3
OG0000558	3	0	3
OG0000559	1	2	3
OG0000560	2	1	3
OG0000561	1	2	3
OG0000562	1	2	3
OG0000563	1	2	3
OG0000564	2	1	3
OG0000565	3	0	3
OG0000566	2	1	3
OG0000567	3	0	3
OG0000568	2	1	3
OG0000569	2	1	3
OG0000570	2	1	3
OG0000571	3	0	3
OG0000572	1	2	3
OG0000573	3	0	3
OG0000574	3	0	3
OG0000575	3	0	3
OG0000576	3	0	3
OG0000577	1	2	3
OG0000578	1	2	3
OG0000579	3	0	3
OG0000580	1	2	3
OG0000581	1	2	3
OG0000582	1	2	3
OG0000583	2	1	3
OG0000584	3	0	3
OG0000585	1	2	3
OG0000586	3	0	3
OG0000587	3	0	3
OG0000588	1	2	3
OG0000589	1	2	3
OG0000590	1	2	3
OG0000591	1	2	3
OG0000592	1	2	3
OG0000593	2	1	3
OG0000594	2	1	3
OG0000595	3	0	3
OG0000596	1	2	3
OG0000597	1	2	3
OG0000598	2	1	3
OG0000599	1	2	3
OG0000600	1	2	3
OG0000601	2	1	3
OG0000602	2	1	3
OG0000603	2	1	3
OG0000604	2	1	3
OG0000605	1	2	3
OG0000606	2	1	3
OG0000607	1	2	3
OG0000608	1	2	3
OG0000609	2	1	3
OG0000610	3	0	3
OG0000611	2	1	3
OG0000612	2	1	3
OG0000613	1	2	3
OG0000614	1	2	3
OG0000615	1	2	3
OG0000616	2	1	3
OG0000617	3	0	3
OG0000618	3	0	3
OG0000619	1	2	3
OG0000620	1	2	3
OG0000621	1	2	3
OG0000622	2	1	3
OG0000623	1	2	3
OG0000624	1	2	3
OG0000625	2	1	3
OG0000626	3	0	3
OG0000627	2	1	3
OG0000628	1	2	3
OG0000629	1	2	3
OG0000630	2	1	3
OG0000631	1	2	3
OG0000632	2	1	3
OG0000633	2	1	3
OG0000634	3	0	3
OG0000635	3	0	3
OG0000636	1	2	3
OG0000637	3	0	3
OG0000638	2	1	3
OG0000639	1	2	3
OG0000640	2	1	3
OG0000641	1	2	3
OG0000642	3	0	3
OG0000643	3	0	3
OG0000644	1	2	3
OG0000645	1	2	3
OG0000646	1	2	3
OG0000647	3	0	3
OG0000648	1	2	3
OG0000649	1	2	3
OG0000650	1	2	3
OG0000651	1	2	3
OG0000652	2	1	3
OG0000653	1	2	3
OG0000654	1	2	3
OG0000655	1	2	3
OG0000656	2	1	3
OG0000657	2	1	3
OG0000658	2	1	3
OG0000659	1	2	3
OG0000660	1	2	3
OG0000661	1	2	3
OG0000662	1	2	3
OG0000663	1	2	3
OG0000664	2	1	3
OG0000665	1	2	3
OG0000666	2	1	3
OG0000667	1	2	3
OG0000668	2	1	3
OG0000669	1	2	3
OG0000670	1	2	3
OG0000671	3	0	3
OG0000672	2	1	3
OG0000673	2	1	3
OG0000674	1	2	3
OG0000675	1	2	3
OG0000676	1	2	3
OG0000677	2	1	3
OG0000678	2	1	3
OG0000679	1	2	3
OG0000680	1	2	3
OG0000681	1	2	3
OG0000682	2	1	3
OG0000683	1	2	3
OG0000684	1	2	3
OG0000685	2	1	3
OG0000686	1	2	3
OG0000687	1	2	3
OG0000688	1	2	3
OG0000689	1	2	3
OG0000690	1	2	3
OG0000691	1	2	3
OG0000692	1	2	3
OG0000693	1	2	3
OG0000694	2	1	3
OG0000695	1	2	3
OG0000696	1	2	3
OG0000697	1	2	3
OG0000698	1	2	3
OG0000699	1	2	3
OG0000700	2	1	3
OG0000701	2	1	3
OG0000702	1	2	3
OG0000703	1	2	3
OG0000704	1	2	3
OG0000705	1	2	3
OG0000706	1	2	3
OG0000707	1	2	3
OG0000708	1	2	3
OG0000709	1	2	3
OG0000710	1	2	3
OG0000711	2	1	3
OG0000712	1	2	3
OG0000713	2	1	3
OG0000714	1	2	3
OG0000715	1	2	3
OG0000716	1	2	3
OG0000717	1	2	3
OG0000718	1	2	3
OG0000719	1	2	3
OG0000720	1	2	3
OG0000721	1	2	3
OG0000722	1	2	3
OG0000723	1	2	3
OG0000724	1	2	3
OG0000725	1	2	3
OG0000726	1	2	3
OG0000727	1	2	3
OG0000728	1	2	3
OG0000729	0	3	3
OG0000730	0	3	3
OG0000731	0	3	3
OG0000732	0	3	3
OG0000733	0	3	3
OG0000734	0	3	3
OG0000735	0	3	3
OG0000736	0	3	3
OG0000737	0	3	3
OG0000738	0	3	3
OG0000739	0	3	3
OG0000740	0	3	3
OG0000741	0	3	3
OG0000742	0	3	3
OG0000743	0	3	3
OG0000744	0	3	3
OG0000745	0	3	3
OG0000746	0	3	3
OG0000747	0	3	3
OG0000748	0	3	3
OG0000749	0	3	3
OG0000750	0	3	3
OG0000751	0	3	3
OG0000752	0	3	3
OG0000753	0	3	3
OG0000754	0	3	3
OG0000755	0	3	3
OG0000756	0	3	3
OG0000757	0	3	3
OG0000758	0	3	3
OG0000759	0	3	3
OG0000760	0	3	3
OG0000761	0	3	3
OG0000762	0	3	3
OG0000763	0	3	3
OG0000764	0	3	3
OG0000765	0	3	3
OG0000766	0	3	3
OG0000767	0	3	3
OG0000768	0	3	3
OG0000769	0	3	3
OG0000770	0	3	3
OG0000771	0	3	3
OG0000772	0	3	3
OG0000773	0	3	3
OG0000774	0	3	3
OG0000775	0	3	3
OG0000776	0	3	3
OG0000777	0	3	3
OG0000778	0	3	3
OG0000779	0	3	3
OG0000780	0	3	3
OG0000781	0	3	3
OG0000782	0	3	3
OG0000783	0	3	3
OG0000784	0	3	3
OG0000785	0	3	3
OG0000786	0	3	3
OG0000787	0	3	3
OG0000788	0	3	3
OG0000789	0	3	3
OG0000790	0	3	3
OG0000791	0	3	3
OG0000792	0	3	3
OG0000793	0	3	3
OG0000794	0	3	3
OG0000795	0	3	3
OG0000796	0	3	3
OG0000797	0	3	3
OG0000798	0	3	3
OG0000799	0	3	3
OG0000800	0	3	3
OG0000801	0	3	3
OG0000802	0	3	3
OG0000803	0	3	3
OG0000804	0	3	3
OG0000805	0	3	3
OG0000806	0	3	3
OG0000807	0	3	3
OG0000808	0	3	3
OG0000809	0	3	3
OG0000810	0	3	3
OG0000811	0	3	3
OG0000812	0	3	3
OG0000813	0	3	3
OG0000814	0	3	3
OG0000815	0	3	3
OG0000816	0	3	3
OG0000817	0	3	3
OG0000818	0	3	3
OG0000819	0	3	3
OG0000820	0	3	3
OG0000821	0	3	3
OG0000822	0	3	3
OG0000823	0	3	3
OG0000824	0	3	3
OG0000825	0	3	3
OG0000826	0	3	3
OG0000827	0	3	3
OG0000828	0	3	3
OG0000829	0	3	3
OG0000830	0	3	3
OG0000831	0	3	3
OG0000832	0	3	3
OG0000833	0	3	3
OG0000834	0	3	3
OG0000835	0	3	3
OG0000836	0	3	3
OG0000837	0	3	3
OG0000838	0	3	3
OG0000839	0	3	3
OG0000840	0	3	3
OG0000841	0	3	3
OG0000842	0	3	3
OG0000843	0	3	3
OG0000844	0	3	3
OG0000845	0	3	3
OG0000846	0	3	3
OG0000847	0	3	3
OG0000848	0	3	3
OG0000849	0	3	3
OG0000850	0	3	3
OG0000851	0	3	3
OG0000852	0	3	3
OG0000853	0	3	3
OG0000854	0	3	3
OG0000855	0	3	3
OG0000856	0	3	3
OG0000857	0	3	3
OG0000858	0	3	3
OG0000859	0	3	3
OG0000860	0	3	3
OG0000861	0	3	3
OG0000862	0	3	3
OG0000863	0	3	3
OG0000864	0	3	3
OG0000865	0	3	3
OG0000866	0	3	3
OG0000867	0	3	3
OG0000868	0	3	3
OG0000869	0	3	3
OG0000870	0	3	3
OG0000871	0	3	3
OG0000872	0	3	3
OG0000873	0	3	3
OG0000874	0	3	3
OG0000875	0	3	3
OG0000876	0	3	3
OG0000877	0	3	3
OG0000878	0	3	3
OG0000879	0	3	3
OG0000880	0	3	3
OG0000881	0	3	3
OG0000882	0	3	3
OG0000883	0	3	3
OG0000884	0	3	3
OG0000885	0	3	3
OG0000886	0	3	3
OG0000887	0	3	3
OG0000888	0	3	3
OG0000889	0	3	3
OG0000890	0	3	3
OG0000891	0	3	3
OG0000892	0	3	3
OG0000893	0	3	3
OG0000894	0	3	3
OG0000895	0	3	3
OG0000896	0	3	3
OG0000897	0	3	3
OG0000898	0	3	3
OG0000899	0	3	3
OG0000900	0	3	3
OG0000901	0	3	3
OG0000902	0	3	3
OG0000903	0	3	3
OG0000904	0	3	3
OG0000905	0	3	3
OG0000906	0	3	3
OG0000907	0	3	3
OG0000908	0	3	3
OG0000909	0	3	3
OG0000910	0	3	3
OG0000911	0	3	3
OG0000912	0	3	3
OG0000913	0	3	3
OG0000914	0	3	3
OG0000915	0	3	3
OG0000916	0	3	3
OG0000917	0	3	3
OG0000918	0	3	3
OG0000919	0	3	3
OG0000920	0	3	3
OG0000921	0	3	3
OG0000922	0	3	3
OG0000923	0	3	3
OG0000924	0	3	3
OG0000925	0	3	3
OG0000926	0	3	3
OG0000927	0	3	3
OG0000928	0	3	3
OG0000929	0	3	3
OG0000930	0	3	3
OG0000931	0	3	3
OG0000932	0	3	3
OG0000933	0	3	3
OG0000934	0	3	3
OG0000935	0	3	3
OG0000936	0	3	3
OG0000937	0	3	3
OG0000938	0	3	3
OG0000939	0	3	3
OG0000940	0	3	3
OG0000941	0	3	3
OG0000942	0	3	3
OG0000943	0	3	3
OG0000944	0	3	3
OG0000945	0	3	3
OG0000946	0	3	3
OG0000947	0	3	3
OG0000948	0	3	3
OG0000949	2	0	2
OG0000950	1	1	2
OG0000951	2	0	2
OG0000952	2	0	2
OG0000953	1	1	2
OG0000954	1	1	2
OG0000955	1	1	2
OG0000956	1	1	2
OG0000957	1	1	2
OG0000958	1	1	2
OG0000959	1	1	2
OG0000960	2	0	2
OG0000961	1	1	2
OG0000962	2	0	2
OG0000963	2	0	2
OG0000964	1	1	2
OG0000965	1	1	2
OG0000966	2	0	2
OG0000967	1	1	2
OG0000968	1	1	2
OG0000969	1	1	2
OG0000970	2	0	2
OG0000971	1	1	2
OG0000972	1	1	2
OG0000973	2	0	2
OG0000974	1	1	2
OG0000975	2	0	2
OG0000976	1	1	2
OG0000977	1	1	2
OG0000978	2	0	2
OG0000979	2	0	2
OG0000980	1	1	2
OG0000981	1	1	2
OG0000982	1	1	2
OG0000983	2	0	2
OG0000984	2	0	2
OG0000985	1	1	2
OG0000986	2	0	2
OG0000987	1	1	2
OG0000988	1	1	2
OG0000989	2	0	2
OG0000990	2	0	2
